Course Code,Title,Description,Skill Labels_1,Skill Labels_2,Skill Labels_3,Skill Labels_4,Skill Labels_5,Skill Labels_6,Skill Labels_7,Skill Labels_8,Skill Labels_9,Skill Labels_10,Skill Labels_11,Skill Labels_12,Skill Labels_13,Skill Labels_14,Skill Labels_15,Skill Labels_16,Skill Labels_17,Skill Labels_18,Skill Labels_19,Skill Labels_20,Skill Labels_21,Skill Labels_22,Skill Labels_23,Skill Labels_24,Skill Labels_25,Skill Labels_26,Skill Labels_27,Skill Labels_28,Skill Labels_29,Skill Labels_30,Skill Labels_31,Skill Labels_32,Skill Labels_33,Skill Labels_34,Skill Labels_35,Skill Labels_36,Skill Labels_37,Skill Labels_38,Skill Labels_39,Skill Labels_40
LDR 6100,Developing Your Leadership Capability,"Begins with the premise everyone is capable of exercising leadership. Establishes this premise by exposing students to a series of alternative perspectives of leadership, including some contemporary collaborative models. Offers students an opportunity to demonstrate a holistic perspective of leadership by gaining an appreciation for the self and how it relates to the greater world around them. Students take a series of professional and leadership assessments/instruments designed to increase their self-awareness. This information allows students to think critically about their own leadership abilities and determine where they fit within the leadership continuum. Offers students an opportunity to build a personal model of leadership that can be put to immediate use in their workplace.",Team Leadership,Communications,Global Leadership,Emotional Intelligence,Servant Leadership,Leadership,Journals,Transformational Leadership,Presentations,Leadership Analysis,Research,Leadership Styles,Storytelling,Psychodynamics,Management,Leadership Studies,Electronic Portfolio,Motivational Leadership,Addressing Ethical Concerns,Diversity Awareness,Situational Leadership Theory,Ethical Leadership,,,,,,,,,,,,,,,,,,
CMN 6000,Intro to Org Communication,"Considers writing and other forms of communication as a management tool. Addresses how effective writing— in plain English—can shape project plans, motivate people, solve problems, and enhance one’s role as a communicator. Offers students an opportunity to demonstrate their writing and editing skills through research, case study analysis, and composing business-related communications as well as to develop other forms of communication, including oral presentations. As such, the two major goals of this course are to acquaint students with a step-by-step communication methodology and to provide them with an opportunity to develop and polish their writing and communication skills",Interpersonal Communications,Communications,Editing,Verbal Communication Skills,Change Management,Crisis Communications,Writing,Nonverbal Communications,Grammar,American Psychological Style (APA),Communications Management,Business Writing,Professional Communication,Group Dynamics,Public Speaking,Presentations,Organizational Communications,Research,Intercultural Communication,Management,Graphic Communication,Electronic Portfolio,Critical Thinking,Oral Communication,,,,,,,,,,,,,,,,
CMN 6015,Introduction to Digital Era,"Introduces social media concepts, including the historical, economic, and social foundations of digital era realities. Explores the potential applications of new technologies for both internal and external purposes, across a range of organizations and industries. Explores strategic responsibilities, issues, and challenges in the context of social media leadership. Addresses digital era career-management responsibilities, including the need to establish a strong digital presence, stay current with changing technologies, and consider new and evolving positions and career trajectories. Offers students an opportunity to apply concepts by establishing and/or strengthening their own digital presence and professional brand, in addition to assessing the digital presence of relevant individuals and organizations.",Leadership,Business To Business,Organizational Leadership,Social Media,Social Media Marketing,Economics,Persona (User Experience),Organizational Communications,Business Communication,Career Management,E-Commerce,Leadership Studies,Information Technology,Marketing Communications,Public Relations,Economy,Customer Relationship Management,Predictive Analytics,,,,,,,,,,,,,,,,,,,,,,
LDR 6101,Professional Leadership Lab/Core LDR Experience,"Offers each student an opportunity to participate in an intensive, group leadership learning experience that is challenge based and experiential. This experience provides the foundation for a series of reflective, feedback-based activities that informs the development of a personalized leadership development plan and peer and faculty coaching during the lab and in subsequent courses. The development plan informs the student’s journey through the leadership program and is housed in an ePortfolio.",Communications,Experiential Learning,Simulations,Leadership,Prototyping,Neuroscience,Storytelling,Design Thinking,Electronic Portfolio,Leadership Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDR 6110,Leading Teams,"Offers students an opportunity to lead teams through all stages of team development, learn and overcome team challenges, and determine the principles of building high-performing teams while nurturing the cohesion and bonding of team members. The team is the unit of an organization where most leaders begin to develop influence skills. Leading teams involves managing different personalities, cultures, and varying skill levels, while simultaneously securing resources and managing expectations of stakeholders. In this course, students also have an opportunity to learn effective techniques for working with virtual teams, managing conflict in teams, and facilitating team problem solving.",Problem Solving,Team Leadership,Communications,Team Management,Experiential Learning,Empathy,Decision Making,Emotional Intelligence,Teamwork,Writing,Leadership,Cooperation,Group Dynamics,Virtual Team,Diversity Management,Negotiation,Presentations,Cultural Diversity,Group Decision-Making,Team Building,Team Effectiveness,Management,Team Performance Management,Consensus Decision-Making,Creativity,Conflict Management,Conflict Resolution,Performance Appraisal,Critical Thinking,Situational Leadership Theory,,,,,,,,,,
LDR 6115,Leadership Communication,"Offers students an opportunity to evaluate and utilize numerous communications options to develop an authentic, powerful, leadership voice using interpersonal, technology-mediated, and intercultural communications competencies and techniques; to develop a personal model for leadership communication; and to define an action plan for their growth in powerful leadership communications. In today’s dynamic, global work environment, leaders need to be able to communicate effectively with people located in the same geographical location or located anywhere across the globe.",Listening Skills,Eye Contact,Interpersonal Communications,Communications,Emotional Intelligence,Crisis Communications,Internal Communications,Writing,Leadership,Nonverbal Communications,Social Media,Journals,Transformational Leadership,Presentations,Webcast,Organizational Communications,Graphic Design,Intercultural Communication,Leadership Styles,Storytelling,Written Communication,Active Listening,External Relations,Communication Strategies,Interpersonal Skills,Audience Analysis,Addressing Ethical Concerns,,,,,,,,,,,,,
LDR 6120 ,Developing Organizational Leadership,"Offers students an opportunity to learn the best practices for onboarding, developing, and coaching leaders, as well as creating organizational systems that ensure the company has strong leadership talent for current and future success. The acquisition and development of a company’s current and future leaders is one of the most vital activities for healthy organizational identity, strong organizational performance, and ensuring long-term growth. Searching for, anticipating, and securing a pipeline of leadership talent, often referred to as developing “bench strength,” requires a proactive organizational environment that ensures the right processes are in place to support leadership development and succession planning.",Onboarding,Experiential Learning,Teamwork,Leadership,Organizational Leadership,Organizational Structure,Team Building,Management,Development Planning,Practicum,Empowerment,Succession Planning,Mentorship,Organizational Performance,Organization Development,Innovation,Leadership Development,,,,,,,,,,,,,,,,,,,,,,,
LDR 6135,Ethical Leadership,"Considers leadership dilemmas that can arise when individual values conflict with those of the organization or when a situation requires decisions with conflict value sets. Offers students an opportunity to use case studies, their own experiences, and current events to examine actions leaders have taken and consequences faced when confronted with ethical dilemmas. Students work on a real-life ethical dilemma for understanding in-depth reasoning of the problem and to develop an action plan for solving and preventing similar problems at the organizational and societal levels. From these discussions, students have an opportunity to develop a personal model for ethical leadership.",Problem Solving,Business Ethics,Corporate Social Responsibility,Decision Making,Organizational Ethics,Leadership,Organizational Leadership,Capitalism,Environmental Ethics,Economics,Ethical Codes,Leadership Analysis,Ethical Conduct,Marketing Ethics,Leadership Studies,Addressing Ethical Concerns,Critical Thinking,Economy,Holism,Ethical Leadership,,,,,,,,,,,,,,,,,,,,
LDR 6140,Strategy Development and Implementation,"Offers students an opportunity to build strategic thinking competencies through case analyses of relevant businesses, nonprofits, and state organizations, as well as through strategic analysis of their own career path. Students work in a consultative role with partner organizations to develop strategic action plans, to perform critical analyses of external and internal environments for a real organization, and to develop recommendations for the organization’s strategic positioning and actions. From these discussions and personal development exercises, students have an opportunity to develop an action plan for personal growth as a strategic leader.",Market Research,Balanced Scorecard,Reliability,Change Management,Decision Making,Strategy Execution,Simulations,Scenario Planning,Leadership,Franchising,Strategic Alliance,Creating Shareholder Value,Strategic Thinking,Prototyping,SWOT Analysis,Integration,Business Performance Management,Foreign Direct Investments,Economics,Business Model,Organizational Structure,Vertical Integration,Strategic Management,Global Marketing,Entrepreneurship,Value Chain,Strategic Planning,Mergers And Acquisitions,Strategic Leadership,PEST Analysis,Value Creation,Critical Thinking,Triple Bottom Line (TBL),Diversification (Investing),Localization,Innovation,Business Strategies,Management Control Systems,,
LDR 6145,Global Leadership,"Explores changing demographics as they impact organizations of today and in the future and examines best-in-class organizations’ motivations to more fully appreciate the backgrounds, cultures, experiences, viewpoints, styles, and contributions of all workforce members. Offers students an opportunity to reflect on leadership from key ethical, legal, policy, business, political, and societal frameworks. In a global economy, leaders of best-in-class organizations understand that creating an inclusive work environment is essential for continued competitive advantage. The world’s exploding diversity coupled with technological advancements demand effective collaboration among employees from countries with different cultures, beliefs, and backgrounds.",Global Leadership,Leadership,Business Model,Demography,Multidisciplinary Approach,Leadership Styles,Management Styles,Leadership Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
